學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,二年級,下學期,第5課,第五課：我的家人,18,13,2,剛、品、爺、採、蕉、軍、告、訴、辛、苦、流、堅、固、安、寶、貝、幅、管,機、蓋,剛剛、作品、爺爺、採收、香蕉、軍人、飛機、告訴、辛苦、堅固、安全、寶貝、不管,0103021140205,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140205
114,二年級,下學期,第6課,第六課：愛笑的大樹,18,11,2,教、室、棵、及、終、立、刻、抱、並、猜、文、借、枝、鉛、校、車、哥、牛,騎、踏,教室、來不及、終於、立刻、並且、課文、鉛筆、校園、腳踏車、哥哥、牛排,0103021140206,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140206
114,二年級,下學期,第7課,第七課：月光河,18,14,2,久、條、祕、兔、其、猴、病、探、體、惜、無、辦、之、請、鼻、吸、模、度,挖、坑,神祕、白兔、其他、猴子、生病、探望、身體、可惜、無法、辦法、之後、鼻子、一模一樣、度過,0103021140207,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140207
114,二年級,下學期,第8課,第八課：黃狗生蛋,18,14,2,狗、雞、經、怪、羊、鴨、信、錯、睛、仔、細、能、消、傳、嚇、忍、住、顧,議、鴕,經過、奇怪、不可思議、山羊、鴨子、鴕鳥、相信、沒錯、眼睛、仔細、不可能、消息、忍不住、照顧,0103021140208,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140208
114,二年級,下學期,第9課,第九課：神筆馬良,18,9,2,良、孩、錢、醒、尾、巴、村、貪、皇、帝、派、抓、銀、准、島、元、波、浪,艘、掀,馬良、孩子、尾巴、村子、貪心、皇帝、不准、元寶、掀起,0103021140209,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140209
114,二年級,下學期,第10課,第十課：小熊的邀請,18,9,2,熊、朝、踮、尖、木、架、些、足、蹈、轉、趕、耳、啄、袋、鼠、摸、讀、琅,邀、蹦,邀請、朝陽、一些、手舞足蹈、趕著、耳朵、袋鼠、蹦蹦跳跳、琅琅,0103021140210,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140210
114,二年級,下學期,第11課,第十一課：小讀者樂園,18,16,2,圖、館、參、題、士、講、甲、形、志、約、數、迎、交、令、世、界、險、庫,索、奧,圖書館、參加、主題、大力士、主講、甲蟲、外形、志工、數學、歡迎、交流、世界、冒險、寶庫、探索、奧祕,0103021140211,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140211
114,二年級,下學期,第12課,第十二課：巨人山,17,12,0,巨、累、髮、根、牆、狂、呼、差、睜、緊、餓、百、食、桶、倒、量、底,,巨人、頭髮、樹根、城牆、狂風、呼吸、差點兒、睜開、趕緊、食物、分量、到底,0103021140212,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140212
114,三年級,上學期,第1課,第一課：心的悄悄話,13,6,0,字、舟、灑、載、讓、愁、嘆、忌、妒、訣、似、練、習,,發愁、嘆息、忌妒、口訣、看似、練習,0103031140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140101
114,三年級,上學期,第2課,第二課：妙故事點點名,14,15,4,名、窗、戶、板、答、案、專、穫、已、傘、喊、章、詞、語,歪、霧、晃、亂,點名、歪打正著、窗戶、霧裡看花、黑板、答案、專心、收穫、晃動、已經、手忙腳亂、雨傘、喊叫、文章、詞語,0103031140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140102
114,三年級,上學期,第3課,第三課：繞口令村,14,12,4,繞、由、迷、失、岸、撞、扶、急、店、機、料、實、留、觀,暴、闆、葡、萄,繞口令、由於、暴風雨、迷失、上岸、老闆、飛機、用料、實在、葡萄、停留、參觀,0103031140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140103
114,三年級,上學期,第4課,第四課：小丑魚和海葵,14,11,4,露、懷、居、準、射、刺、痛、使、毒、欺、負、感、遇、危,丑、葵、擺、觸,小丑魚、海葵、擺動、露出、不懷好意、居心不良、觸手、欺負、感動、遇到、危險,0103031140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140104
114,三年級,上學期,第5課,第五課：飛舞的絲帶,14,11,4,朝、努、總、段、利、害、整、該、紙、李、貴、必、通、場,絲、導、綁、鬆,絲帶、朝會、努力、指導、利用、整排、紙條、鬆了一口氣、必定、通通、操場,0103031140105,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140105
114,三年級,上學期,第6課,第六課：小女生,14,13,4,女、非、關、澡、怕、應、平、毛、肚、蓋、摸、柔、揉、副,喵、茸、黏、膠,女生、非常、喵喵、關門、洗澡、哪怕、回應、平時、毛茸茸、肚子、一副、黏人、膠水,0103031140106,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140106
114,三年級,上學期,第7課,第七課：淡水小鎮,14,8,0,統、商、阿、婆、鐵、硬、愈、嚼、蒼、坡、憶、夕、盪、網,,傳統、商行、阿婆、蒼老、山坡、回憶、夕陽、搖盪,0103031140107,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140107
